Solute_SMILES,Solvent_SMILES,T,log-gamma,source_file,solute_rdkit_valid,solute_canonical_isomeric,solute_canonical_nonisomeric,solute_rdkit_isomeric_flag,solute_heuristic_isomer_flag,solute_isomer_detection_method,solute_isomer_collision_group,solute_collision_group_id,solvent_rdkit_valid,solvent_canonical_isomeric,solvent_canonical_nonisomeric,solvent_rdkit_isomeric_flag,solvent_heuristic_isomer_flag,solvent_isomer_detection_method,solvent_isomer_collision_group,solvent_collision_group_id,isomer_subset_flag,isomer_detection_reason
C1CCCCC1,CN1CCCC1=O,35.0,2.312535424,molecule_train.csv,True,C1CCCCC1,C1CCCCC1,False,False,none,False,,True,CN1CCCC1=O,CN1CCCC1=O,False,False,none,False,,False,
C1=CC=NC=C1,CC(=O)NC,45.25,0.425267735,molecule_train.csv,True,c1ccncc1,c1ccncc1,False,False,none,False,,True,CNC(C)=O,CNC(C)=O,False,False,none,False,,False,
CCCC,CC(=C)CCO,16.84,1.483874689,molecule_train.csv,True,CCCC,CCCC,False,False,none,False,,True,C=C(C)CCO,C=C(C)CCO,False,False,none,False,,False,
CCCCCC,CCCCOC(=O)C,25.0,0.688134639,molecule_train.csv,True,CCCCCC,CCCCCC,False,False,none,False,,True,CCCCOC(C)=O,CCCCOC(C)=O,False,False,none,False,,False,
C(Cl)(Cl)(Cl)Cl,CCCC(=O)C1=CC=CC=C1,24.95,0.285178942,molecule_train.csv,True,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,False,False,none,False,,True,CCCC(=O)c1ccccc1,CCCC(=O)c1ccccc1,False,False,none,False,,False,
CCSSCC,CCCCCCC,25.0,0.741937345,molecule_train.csv,True,CCSSCC,CCSSCC,False,False,none,False,,True,CCCCCCC,CCCCCCC,False,False,none,False,,False,
CC(C)CO,CCOC(=O)C1=CC=CC=C1C(=O)OCC,75.05,0.518793793,molecule_train.csv,True,CC(C)CO,CC(C)CO,False,False,none,False,,True,CCOC(=O)c1ccccc1C(=O)OCC,CCOC(=O)c1ccccc1C(=O)OCC,False,False,none,False,,False,
CC=C,CC(C)CCO,56.85,0.916290732,molecule_train.csv,True,C=CC,C=CC,False,False,none,False,,True,CC(C)CCO,CC(C)CCO,False,False,none,False,,False,
C1=CC=CC=C1,CC1=CC=CC=C1,25.0,-0.010050336,molecule_train.csv,True,c1ccccc1,c1ccccc1,False,False,none,False,,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,False,
CCCCCCCCC,CSSC,25.0,0.802001585,molecule_train.csv,True,CCCCCCCCC,CCCCCCCCC,False,False,none,False,,True,CSSC,CSSC,False,False,none,False,,False,
C=CC=C,C=CC1=CC=CC=C1,36.69,0.717839793,molecule_train.csv,True,C=CC=C,C=CC=C,False,False,none,False,,True,C=Cc1ccccc1,C=Cc1ccccc1,False,False,none,False,,False,
CC1CCC(CC1)C,C1COCCN1C=O,40.1,3.339321978,molecule_train.csv,True,CC1CCC(C)CC1,CC1CCC(C)CC1,False,False,none,False,,True,O=CN1CCOCC1,O=CN1CCOCC1,False,False,none,False,,False,
CC#N,CCCCCCCC,20.05,3.443618098,molecule_train.csv,True,CC#N,CC#N,False,False,none,False,,True,CCCCCCCC,CCCCCCCC,False,False,none,False,,False,
CCC(C)(C)C,CCCCCCCCCCCCCCCC,70.0,-0.183922838,molecule_train.csv,True,CCC(C)(C)C,CCC(C)(C)C,False,False,none,False,,True,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,False,False,none,False,,False,
CCCC(C)C,CCC#N,25.0,2.33698652,molecule_train.csv,True,CCCC(C)C,CCCC(C)C,False,False,none,False,,True,CCC#N,CCC#N,False,False,none,False,,False,
CCCCC=C,CC1=CC=CC=C1,40.05,0.438254931,molecule_train.csv,True,C=CCCCC,C=CCCCC,False,False,none,False,,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,False,
CC(C)CC(C)C,CS(=O)C,25.05,4.56309741,molecule_train.csv,True,CC(C)CC(C)C,CC(C)CC(C)C,False,False,none,False,,True,CS(C)=O,CS(C)=O,False,False,none,False,,False,
C1=CC=CC=C1,C(COCCO)O,75.05,1.975468951,molecule_train.csv,True,c1ccccc1,c1ccccc1,False,False,none,False,,True,OCCOCCO,OCCOCCO,False,False,none,False,,False,
CC(C)CC(C)C,CC(C)CC(C)(C)C,25.0,-0.010050336,molecule_train.csv,True,CC(C)CC(C)C,CC(C)CC(C)C,False,False,none,False,,True,CC(C)CC(C)(C)C,CC(C)CC(C)(C)C,False,False,none,False,,False,
CCCCCCC,CCCCCCOC(=O)C1=CC(=CC=C1)C(=O)OCCCCCC,120.0,0.322083499,molecule_train.csv,True,CCCCCCC,CCCCCCC,False,False,none,False,,True,CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,False,False,none,False,,False,
CCCCCC=C,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,50.0,0.25,molecule_train.csv,True,C=CCCCCC,C=CCCCCC,False,False,none,False,,True,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,False,False,none,False,,False,
CCCOC(=O)C,CCCCOCCOCCOCCCC,30.0,-0.033556784,molecule_train.csv,True,CCCOC(C)=O,CCCOC(C)=O,False,False,none,False,,True,CCCCOCCOCCOCCCC,CCCCOCCOCCOCCCC,False,False,none,False,,False,
CC(C)C,CC(C)(C=C)O,36.84,1.118414916,molecule_train.csv,True,CC(C)C,CC(C)C,False,False,none,False,,True,C=CC(C)(C)O,C=CC(C)(C)O,False,False,none,False,,False,
CC1CCCCC1,C1=CC=CC=C1,25.0,0.587786665,molecule_train.csv,True,CC1CCCCC1,CC1CCCCC1,False,False,none,False,,True,c1ccccc1,c1ccccc1,False,False,none,False,,False,
CCC1CCCCC1,CCN(CC)CC,25.05,0.086177696,molecule_train.csv,True,CCC1CCCCC1,CCC1CCCCC1,False,False,none,False,,True,CCN(CC)CC,CCN(CC)CC,False,False,none,False,,False,
CCO,CCCCCCCCCCCCCCCCCCCCO,75.0,-2.248096908,molecule_train.csv,True,CCO,CCO,False,False,none,False,,True,CCCCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCCCO,False,False,none,False,,False,
C(Cl)(Cl)Cl,CCCCCCCCCCCCCCCC,25.0,0.076961041,molecule_train.csv,True,ClC(Cl)Cl,ClC(Cl)Cl,False,False,none,False,,True,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,False,False,none,False,,False,
CC(C)OC(C)C,CCOC(=O)C1=CC=CC=C1,50.05,0.553885113,molecule_train.csv,True,CC(C)OC(C)C,CC(C)OC(C)C,False,False,none,False,,True,CCOC(=O)c1ccccc1,CCOC(=O)c1ccccc1,False,False,none,False,,False,
C(Cl)(Cl)Cl,CCOC(=O)C1=CC=CC=C1C(=O)OCC,30.0,-0.858021824,molecule_train.csv,True,ClC(Cl)Cl,ClC(Cl)Cl,False,False,none,False,,True,CCOC(=O)c1ccccc1C(=O)OCC,CCOC(=O)c1ccccc1C(=O)OCC,False,False,none,False,,False,
C1CC=CC=C1,C1CCC2=CC=CC=C2C1,25.0,-0.024292693,molecule_train.csv,True,C1=CCCC=C1,C1=CCCC=C1,False,False,none,False,,True,c1ccc2c(c1)CCCC2,c1ccc2c(c1)CCCC2,False,False,none,False,,False,
